id,salary,gender,age,experience,training
1,32368,0,42,3,1
2,53174,1,54,10,1
3,52722,1,47,10,0
4,53423,1,47,1,1
5,50602,1,44,5,1
6,49033,1,42,10,0
7,24395,1,30,5,0
8,24395,0,52,6,0
9,43124,1,48,8,0
10,23975,0,58,4,0
11,53174,1,46,4,2
12,58515,1,36,8,2
13,56294,1,49,10,1
14,49033,0,55,10,1
15,44884,1,41,1,0
16,53429,0,52,5,1
17,46574,1,57,8,0
18,58968,0,61,10,1
19,53174,1,50,5,0
20,53627,1,47,10,1
21,49033,1,54,5,1
22,54981,1,47,7,0
23,62530,1,50,10,1
24,27525,0,38,3,0
25,24395,1,31,5,0
26,56884,1,47,10,0
27,52111,1,56,5,0
28,44183,0,38,5,1
29,24967,0,55,6,0
30,35423,0,47,4,0
31,41188,0,35,2,1
32,27525,0,35,3,0
33,35018,1,39,1,0
34,44183,1,41,2,0
35,35423,1,44,1,0
36,49033,1,53,8,0
37,40741,1,47,2,0
38,49033,1,42,10,0
39,56294,0,44,6,2
40,47180,0,45,5,2
41,46574,1,56,8,0
42,52722,1,38,8,2
43,51237,1,58,2,1
44,53627,1,52,8,0
45,53174,1,54,10,0
46,56294,1,49,10,1
47,49033,0,53,10,1
48,49033,1,43,9,0
49,55549,1,35,8,2
50,51237,1,56,1,2
51,35200,0,38,1,1
52,50175,0,42,5,0
53,24352,0,35,1,0
54,27525,0,40,3,0
55,29606,0,34,4,1
56,24352,0,35,1,0
57,47180,0,45,5,1
58,49033,1,54,10,0
59,53174,1,47,10,0
60,53429,0,45,7,1
61,53627,1,47,10,0
62,26491,0,46,7,0
63,42961,1,36,3,1
64,53174,1,45,5,0
65,37292,1,46,0,0
66,37292,1,47,1,0
67,41188,0,34,3,1
68,57242,0,45,7,2
69,53429,0,44,6,2
70,53174,1,50,10,1
71,44138,0,38,2,1
